utterance,Utterance Token,RNN Sentiment
"I'm happy with the service, can you lodge a review?","['happi', 'servic', 'lodg', 'review']",Positive
where to leave a rreview for a service,"['leav', 'rreview', 'servic']",Negative
"i am happy with the service, lodge a review, please","['happi', 'servic', 'lodg', 'review', 'pleas']",Neutral
how can I write a comment?,"['write', 'comment']",Positive
"im happy with the service, lodge a review","['im', 'happi', 'servic', 'lodg', 'review']",Positive
i need help leaving an opinion,"['need', 'help', 'leav', 'opinion']",Negative
"I'm happy with the service, what do I have to do to submit an opinion?","['happi', 'servic', 'submit', 'opinion']",Positive
"I want to lodge a comment, can you help me?","['want', 'lodg', 'comment', 'help']",Neutral
"I'm happy  with the service, what can I do to submit an opinion?","['happi', 'servic', 'submit', 'opinion']",Positive
"I want to file an opinion for a service, what can I do?","['want', 'file', 'opinion', 'servic']",Neutral
"I'm happy with the service, what do I have to do to make an opinion?","['happi', 'servic', 'make', 'opinion']",Positive
"I'm happy with the service, what do I have to do to submit a review?","['happi', 'servic', 'submit', 'review']",Positive
"I'm happy with the service, can I submit an opinion?","['happi', 'servic', 'submit', 'opinion']",Positive
"please, ask an agent if I could write an opinion","['pleas', 'ask', 'agent', 'could', 'write', 'opinion']",Positive
i need help writing a comment for a service,"['need', 'help', 'write', 'comment', 'servic']",Negative
"I want to make a comment, can you help me ?","['want', 'make', 'comment', 'help']",Negative
"I want to make a review for a service, what can I do?","['want', 'make', 'review', 'servic']",Negative
can u ask an agent how i can leave a review?,"['u', 'ask', 'agent', 'leav', 'review']",Positive
"im happy with the service, what can i do to submit an opinion?","['im', 'happi', 'servic', 'submit', 'opinion']",Positive
"I'm happy with the service, what can I do to make an opinion?","['happi', 'servic', 'make', 'opinion']",Positive
"i wanna submit a review for a service, what do i have to do?","['wan', 'na', 'submit', 'review', 'servic']",Positive
"I am happy with the service, lodge a comment, please","['happi', 'servic', 'lodg', 'comment', 'pleas']",Positive
"im happy with the service, how can i make an opinion?","['im', 'happi', 'servic', 'make', 'opinion']",Positive
"I want to make an opinion, what can I do?","['want', 'make', 'opinion']",Negative
how do i write a comment for a service?,"['write', 'comment', 'servic']",Positive
"i wanna file an opinion for a service, can u help me?","['wan', 'na', 'file', 'opinion', 'servic', 'u', 'help']",Negative
I need help leaving a review,"['need', 'help', 'leav', 'review']",Negative
"I'm happy with the service, I need help making a comment","['happi', 'servic', 'need', 'help', 'make', 'comment']",Positive
"i am happy with the service, what should i do to make an opinion?","['happi', 'servic', 'make', 'opinion']",Positive
"I'm happy with the service, make an opinion","['happi', 'servic', 'make', 'opinion']",Positive
I'm happy with the sertvice and I'd like to file a comment,"['happi', 'sertvic', 'like', 'file', 'comment']",Negative
"I'm happy with the service, can I make an opinion?","['happi', 'servic', 'make', 'opinion']",Positive
where do i write an opinion?,"['write', 'opinion']",Negative
"I am happy with the service, I need help lodging a comment, please","['happi', 'servic', 'need', 'help', 'lodg', 'comment', 'pleas']",Positive
can I leave an review?,"['leav', 'review']",Negative
"I want to submit a comment, what can I do?","['want', 'submit', 'comment']",Neutral
"I want to lodge an opinion, what should I do?","['want', 'lodg', 'opinion']",Neutral
"im happy with the service , lodge a comment","['im', 'happi', 'servic', 'lodg', 'comment']",Positive
"I want to lodge a review, what do I have to do?","['want', 'lodg', 'review']",Neutral
i am happy with the service and i wanna lodge an opinion,"['happi', 'servic', 'wan', 'na', 'lodg', 'opinion']",Positive
"I want to submit an opinion, what can I do?","['want', 'submit', 'opinion']",Neutral
"I'm happy with the service, what can I do to make a review?","['happi', 'servic', 'make', 'review']",Positive
"I want to file a review for a service, what do I have to do?","['want', 'file', 'review', 'servic']",Neutral
"I'm happy with the service, help me make a comment","['happi', 'servic', 'help', 'make', 'comment']",Positive
can I write a review?,"['write', 'review']",Neutral
"I want to lodge an opinion, what do I have to do?","['want', 'lodg', 'opinion']",Neutral
"i want to submit a comment for a service, what should i do?","['want', 'submit', 'comment', 'servic']",Neutral
where can i leave an opinion for a service?,"['leav', 'opinion', 'servic']",Negative
"i am happy with the service, i need help lodging a comment","['happi', 'servic', 'need', 'help', 'lodg', 'comment']",Positive
"i wana lodge a fucking opinion, whta should i do?","['wana', 'lodg', 'fuck', 'opinion', 'whta']",Negative
"I'm happy with the service, file a comment","['happi', 'servic', 'file', 'comment']",Positive
can u ask an agent where i could leave a review?,"['u', 'ask', 'agent', 'could', 'leav', 'review']",Positive
"please, could you ask an agent how I can write a comment for a service?","['pleas', 'could', 'ask', 'agent', 'write', 'comment', 'servic']",Positive
where do I leave a comment?,"['leav', 'comment']",Negative
"I want to make a comment, what can I do?","['want', 'make', 'comment']",Negative
can i leave an opinion for a service?,"['leav', 'opinion', 'servic']",Negative
"I want to make a review, what do I have to do?","['want', 'make', 'review']",Negative
"im happy with the service, lodge an opinion","['im', 'happi', 'servic', 'lodg', 'opinion']",Positive
"I want to lodge a review for a service, what should I do?","['want', 'lodg', 'review', 'servic']",Neutral
how do I leave a comment for a service?,"['leav', 'comment', 'servic']",Negative
I'm happy with the service and I want to file an opinion,"['happi', 'servic', 'want', 'file', 'opinion']",Positive
"I want to submit an opinion for a service, can you help me?","['want', 'submit', 'opinion', 'servic', 'help']",Neutral
where do I write an opinion?,"['write', 'opinion']",Negative
"I'm happy with the service, I need help making a review","['happi', 'servic', 'need', 'help', 'make', 'review']",Positive
how can i leave an opinion?,"['leav', 'opinion']",Negative
"I want to file a comment for a service, can you help me?","['want', 'file', 'comment', 'servic', 'help']",Neutral
"I'm happy with the service, help me lodge a comment","['happi', 'servic', 'help', 'lodg', 'comment']",Positive
can I leave an opinion for a service?,"['leav', 'opinion', 'servic']",Negative
where can I leave an opinion?,"['leav', 'opinion']",Negative
"I'm happy with the service, what should I do to submit a review?","['happi', 'servic', 'submit', 'review']",Positive
how to write a comment for a service,"['write', 'comment', 'servic']",Positive
I want to leave an opinion for a service,"['want', 'leav', 'opinion', 'servic']",Negative
"I'm happy with the service, how can I make a comment?","['happi', 'servic', 'make', 'comment']",Positive
"i wanna submit a review for a service, can u help me?","['wan', 'na', 'submit', 'review', 'servic', 'u', 'help']",Positive
"i am happy with the service, can i file a review?","['happi', 'servic', 'file', 'review']",Positive
I want to write an opinion,"['want', 'write', 'opinion']",Neutral
I want to leave a review,"['want', 'leav', 'review']",Neutral
"I'm happy with the service, how can I file a comment?","['happi', 'servic', 'file', 'comment']",Positive
I need help leaving an opinion for a esrvce,"['need', 'help', 'leav', 'opinion', 'esrvc']",Negative
"I'm happy with the service, how do I lodge a comment?","['happi', 'servic', 'lodg', 'comment']",Positive
"I'm happy with the service, can you file a review?","['happi', 'servic', 'file', 'review']",Positive
"I want to file a review for a service, what can I do?","['want', 'file', 'review', 'servic']",Neutral
where do I write an opinion for a service?,"['write', 'opinion', 'servic']",Negative
"I'm happy with the service, what do I have to do to make a review?","['happi', 'servic', 'make', 'review']",Positive
"im happy with the service, how can i lodge a review?","['im', 'happi', 'servic', 'lodg', 'review']",Positive
how to write an opinion,"['write', 'opinion']",Negative
"i want to lodge a review for a service, what can i do?","['want', 'lodg', 'review', 'servic']",Neutral
how do i leave an opinion for a service?,"['leav', 'opinion', 'servic']",Negative
how do I write a comment for a service?,"['write', 'comment', 'servic']",Positive
"i want to make an opinion, what can i do?","['want', 'make', 'opinion']",Negative
"I want to submit an opinion, what should I do?","['want', 'submit', 'opinion']",Neutral
"can you ask an agent if I can write an opinion for a service, please?","['ask', 'agent', 'write', 'opinion', 'servic', 'pleas']",Negative
I need help leaving a review for a service,"['need', 'help', 'leav', 'review', 'servic']",Negative
"i am happy with the service, what can i do to file a comment?","['happi', 'servic', 'file', 'comment']",Positive
"im happy with the service, how can i lodge an opinion?","['im', 'happi', 'servic', 'lodg', 'opinion']",Positive
ask an agernt where i could write areview,"['ask', 'agernt', 'could', 'write', 'areview']",Positive
"please, could u ask an agent how i can leave a fucking review for a service?","['pleas', 'could', 'u', 'ask', 'agent', 'leav', 'fuck', 'review', 'servic']",Positive
can u ask an agent to write a review for a service?,"['u', 'ask', 'agent', 'write', 'review', 'servic']",Neutral
"please, can u ask an agent how i can leave an opinion for a service?","['pleas', 'u', 'ask', 'agent', 'leav', 'opinion', 'servic']",Positive
I am happy with the service and I would like to make an opinion,"['happi', 'servic', 'would', 'like', 'make', 'opinion']",Negative
"I want to make a review, what can I do?","['want', 'make', 'review']",Negative
where do I leave an opinion for a service?,"['leav', 'opinion', 'servic']",Negative
"I want to lodge a comment for a service, what do I have to do?","['want', 'lodg', 'comment', 'servic']",Neutral
"I'm happy with the service, I need help filing a review","['happi', 'servic', 'need', 'help', 'file', 'review']",Positive
"I'm happy with the service, how do I lodge a review?","['happi', 'servic', 'lodg', 'review']",Positive
"I'm happy with the service, can you lodge an opinionm?","['happi', 'servic', 'lodg', 'opinionm']",Positive
"id like to submit a fucking comment for a service, what do i have to do?","['id', 'like', 'submit', 'fuck', 'comment', 'servic']",Negative
"I'm happy with the service, how can I submit a comment?","['happi', 'servic', 'submit', 'comment']",Positive
I need help writing an opinion,"['need', 'help', 'write', 'opinion']",Negative
"please, can u ask an agent were ot write a fucking opinion?","['pleas', 'u', 'ask', 'agent', 'ot', 'write', 'fuck', 'opinion']",Positive
ask an agent how i can writean opinion for a service,"['ask', 'agent', 'writean', 'opinion', 'servic']",Negative
"i am happy with the service, can u make a review?","['happi', 'servic', 'u', 'make', 'review']",Positive
how to leave an opinion,"['leav', 'opinion']",Negative
"I'm happy with the service, can you submit a comment?","['happi', 'servic', 'submit', 'comment']",Positive
"please, could u ask an agent how i can write a fucking review for a service?","['pleas', 'could', 'u', 'ask', 'agent', 'write', 'fuck', 'review', 'servic']",Neutral
"I'm happy with the service, what should I do to file a comment?","['happi', 'servic', 'file', 'comment']",Positive
where can I write a comment for a service?,"['write', 'comment', 'servic']",Positive
ask an agent how to write a comment for a service,"['ask', 'agent', 'write', 'comment', 'servic']",Positive
im happy with the service and i wanna submit a comment,"['im', 'happi', 'servic', 'wan', 'na', 'submit', 'comment']",Positive
"I want to submit a comment for a service, what shouldI do ?","['want', 'submit', 'comment', 'servic', 'shouldi']",Neutral
"please, ask an agent where i can write a fucking comment for a service","['pleas', 'ask', 'agent', 'write', 'fuck', 'comment', 'servic']",Positive
"I'm happy with the service, help me file a review","['happi', 'servic', 'help', 'file', 'review']",Positive
I'm happy with the service and I want to make a comment,"['happi', 'servic', 'want', 'make', 'comment']",Positive
I'm happy with the service and I want to make an opinion,"['happi', 'servic', 'want', 'make', 'opinion']",Positive
"i wanna make a review for a service, what can i do?","['wan', 'na', 'make', 'review', 'servic']",Positive
"I'm happy with the service, what can I do to file a review?","['happi', 'servic', 'file', 'review']",Positive
I want to write a comment for a service,"['want', 'write', 'comment', 'servic']",Neutral
I want to leave a comment,"['want', 'leav', 'comment']",Neutral
"I'm happy with the service, how do I file a review?","['happi', 'servic', 'file', 'review']",Positive
"I'm happy with the service, submit a review","['happi', 'servic', 'submit', 'review']",Positive
I need help writing a review,"['need', 'help', 'write', 'review']",Positive
"I'm happy with the service, can you lodge a comment?","['happi', 'servic', 'lodg', 'comment']",Positive
where to leave a comment for a service,"['leav', 'comment', 'servic']",Negative
"please, could u ask an agent how to leave a review for a service?","['pleas', 'could', 'u', 'ask', 'agent', 'leav', 'review', 'servic']",Positive
"could u ask an agent how i can leave a fucking review, please?","['could', 'u', 'ask', 'agent', 'leav', 'fuck', 'review', 'pleas']",Neutral
"I'm happy with the service, what can I do to submit a comment?","['happi', 'servic', 'submit', 'comment']",Positive
where do i write a review?,"['write', 'review']",Neutral
"I'm hqppy with the service, what should I do to make an opinion?","['hqppi', 'servic', 'make', 'opinion']",Neutral
"I'm happy with the service, what should I do to file an opinion?","['happi', 'servic', 'file', 'opinion']",Positive
can u ask an agent if i could write a comment?,"['u', 'ask', 'agent', 'could', 'write', 'comment']",Neutral
can u ask an agent how i can leave an opinion for a service?,"['u', 'ask', 'agent', 'leav', 'opinion', 'servic']",Negative
"i am happy with the service, could i lodge an opinion?","['happi', 'servic', 'could', 'lodg', 'opinion']",Positive
"I can't find my bill, can I check it?","['ca', 'find', 'bill', 'check']",Positive
"I can't find my bills, how can I check them?","['ca', 'find', 'bill', 'check']",Positive
"i want to checkl my bills, can u help me?","['want', 'checkl', 'bill', 'u', 'help']",Neutral
"I want to see my invoices, what can I do?","['want', 'see', 'invoic']",Neutral
"I lost my bills, I need help seeing them","['lost', 'bill', 'need', 'help', 'see']",Neutral
how do i see my invoices?,"['see', 'invoic']",Negative
"i want to see my invoices, what should i do?","['want', 'see', 'invoic']",Neutral
"I want to see my bill, what do I have to do?","['want', 'see', 'bill']",Neutral
I lost my invoices and I'd like to check them,"['lost', 'invoic', 'like', 'check']",Negative
"I lost my bills, ca you view them?","['lost', 'bill', 'ca', 'view']",Positive
where do I check my invoice?,"['check', 'invoic']",Positive
where can I check my invoice?,"['check', 'invoic']",Positive
"i can't find my bill, how could i see it?","['ca', 'find', 'bill', 'could', 'see']",Neutral
"i wanna see my bills, what can i do?","['wan', 'na', 'see', 'bill']",Negative
"I want to view my invoices, can you help me?","['want', 'view', 'invoic', 'help']",Negative
how do I check my invoice?,"['check', 'invoic']",Positive
"I lost my invoice, can you view it?","['lost', 'invoic', 'view']",Negative
"i didn't receive my bill, how could i check it?","['receiv', 'bill', 'could', 'check']",Neutral
"please, could u ask an agent how i could view my invoice?","['pleas', 'could', 'u', 'ask', 'agent', 'could', 'view', 'invoic']",Neutral
"I didn't receive my invoice, how do I see it?","['receiv', 'invoic', 'see']",Negative
"could you ask an agent where I can check my invoices, please?","['could', 'ask', 'agent', 'check', 'invoic', 'pleas']",Positive
"I didn't receive my bills, what should I do to se them?","['receiv', 'bill', 'se']",Positive
"I didn't receive my invoices, what should I do to see them?","['receiv', 'invoic', 'see']",Negative
"i didn't receive my bill, help me check it","['receiv', 'bill', 'help', 'check']",Positive
can u ask an agent where to check my bill?,"['u', 'ask', 'agent', 'check', 'bill']",Positive
"I can't find my bills, could I see them?","['ca', 'find', 'bill', 'could', 'see']",Neutral
"i can't find my bills, what should i do to view them?","['ca', 'find', 'bill', 'view']",Positive
I can't find my invoice and I want to check it,"['ca', 'find', 'invoic', 'want', 'check']",Positive
"i can't find my bill and i wanna view it, please","['ca', 'find', 'bill', 'wan', 'na', 'view', 'pleas']",Positive
"i didn't receive my bills, how do i see them?","['receiv', 'bill', 'see']",Negative
"i didn't receive my invoices , i need help viewing thme","['receiv', 'invoic', 'need', 'help', 'view', 'thme']",Positive
"I can't find my invoice, help me view it","['ca', 'find', 'invoic', 'help', 'view']",Positive
"i didn't receive my invocies, could u check them?","['receiv', 'invoci', 'could', 'u', 'check']",Positive
i lost my bills and i wanna check them,"['lost', 'bill', 'wan', 'na', 'check']",Positive
I can't find my invoice and I want to view it,"['ca', 'find', 'invoic', 'want', 'view']",Positive
"I want to see my bills, what should I do?","['want', 'see', 'bill']",Neutral
i lost my bill and i wanna view it,"['lost', 'bill', 'wan', 'na', 'view']",Neutral
"i want to see my invoices, what can i so?","['want', 'see', 'invoic']",Neutral
"i lost my bill, can i view it?","['lost', 'bill', 'view']",Negative
check my invoice,"['check', 'invoic']",Positive
"i lost my invoices, what can i do to view them?","['lost', 'invoic', 'view']",Negative
"i lost my bill, check it","['lost', 'bill', 'check']",Positive
i didn't receive my invoice and i want to check it,"['receiv', 'invoic', 'want', 'check']",Neutral
"I lost my bill , can I see it?","['lost', 'bill', 'see']",Negative
"I lost my invoice, what should I do to check it?","['lost', 'invoic', 'check']",Positive
"I lost my bill, can I check it?","['lost', 'bill', 'check']",Positive
I need help viewing my bill,"['need', 'help', 'view', 'bill']",Positive
"I lost my bills, how can I see them?","['lost', 'bill', 'see']",Negative
"I didnm't receive my bill, how do I view it?","['receiv', 'bill', 'view']",Neutral
"I didn't receive my bill, can you show it?","['receiv', 'bill', 'show']",Neutral
"I can't find my invoices, how do I view them?","['ca', 'find', 'invoic', 'view']",Positive
"i can't find my bill, help me view it","['ca', 'find', 'bill', 'help', 'view']",Positive
i didn't receive my invoices and id like to see them,"['receiv', 'invoic', 'id', 'like', 'see']",Positive
"I lost my fucking invoices and I want to check them, please","['lost', 'fuck', 'invoic', 'want', 'check', 'pleas']",Positive
I need information about my bills,"['need', 'inform', 'bill']",Positive
"I want to check my bills, what can I do?","['want', 'check', 'bill']",Neutral
I lost my bills and I want to see them,"['lost', 'bill', 'want', 'see']",Neutral
"can you ask an agent how I can see my invoice, please?","['ask', 'agent', 'see', 'invoic', 'pleas']",Negative
"I didn't receive my invoices, what do I have to do to see them?","['receiv', 'invoic', 'see']",Negative
"I lost my invoice, what can I do to see it?","['lost', 'invoic', 'see']",Negative
"i lost my invoices, how can i check them?","['lost', 'invoic', 'check']",Positive
"I lost my invoice , view it","['lost', 'invoic', 'view']",Negative
"I want to check my bills, can you help me?","['want', 'check', 'bill', 'help']",Neutral
"i didn't receive my invoics, how dl i check them?","['receiv', 'invoic', 'dl', 'check']",Positive
"I didn't receive my invoice, what should I do to check it?","['receiv', 'invoic', 'check']",Positive
could u ask an agent where i can see my bill?,"['could', 'u', 'ask', 'agent', 'see', 'bill']",Negative
"I can't find my bill, can you view it?","['ca', 'find', 'bill', 'view']",Positive
"I didn't receive my bills, how can I view them?","['receiv', 'bill', 'view']",Neutral
"I lost my invoices, can you show them?","['lost', 'invoic', 'show']",Positive
"I can't find my bills, what can I do to see them?","['ca', 'find', 'bill', 'see']",Positive
"I can't find my invoices, what do I have to do to view them?","['ca', 'find', 'invoic', 'view']",Positive
how can i check my invoices?,"['check', 'invoic']",Positive
"i lost my invoice, show it","['lost', 'invoic', 'show']",Positive
"I can't find my invoices, can you check them?","['ca', 'find', 'invoic', 'check']",Positive
"i wanna check my invoice, what  should i do?","['wan', 'na', 'check', 'invoic']",Positive
can I see my invoice?,"['see', 'invoic']",Negative
"lease, ask an agent how ican check my invoices","['leas', 'ask', 'agent', 'ican', 'check', 'invoic']",Positive
I can't find my invoices and I want to see them,"['ca', 'find', 'invoic', 'want', 'see']",Positive
"I losty my invoice, what can I do to view it?","['losti', 'invoic', 'view']",Neutral
"i didn't receive my invoices, help me view them","['receiv', 'invoic', 'help', 'view']",Positive
how acn  I check my invoice?,"['acn', 'check', 'invoic']",Positive
"I didn't receive my invoices, can you show them?","['receiv', 'invoic', 'show']",Neutral
"I can't find my bill, can you show it?","['ca', 'find', 'bill', 'show']",Positive
"could u ask  an agent for informatoin about my invoices, please?","['could', 'u', 'ask', 'agent', 'informatoin', 'invoic', 'pleas']",Positive
"i didn't receive my bill, what should i do to see it?","['receiv', 'bill', 'see']",Negative
"please, could u ask an agent where i can see my invoices?","['pleas', 'could', 'u', 'ask', 'agent', 'see', 'invoic']",Neutral
where can I check my bills?,"['check', 'bill']",Positive
i lost my invoices and i awnt to check them,"['lost', 'invoic', 'awnt', 'check']",Positive
"I can't find my invoices, can you view them?","['ca', 'find', 'invoic', 'view']",Positive
"I ccan't find my invoice, I need help viewing it","['cca', 'find', 'invoic', 'need', 'help', 'view']",Positive
can u ask an agent to show me information about my bills?,"['u', 'ask', 'agent', 'show', 'inform', 'bill']",Neutral
where tocheck my bills,"['tocheck', 'bill']",Positive
"I can't find my bill, what can I do to see it?","['ca', 'find', 'bill', 'see']",Positive
"I want to view my invoices, what ddo I have to do?","['want', 'view', 'invoic', 'ddo']",Neutral
can u ask an agent where i could check my bills?,"['u', 'ask', 'agent', 'could', 'check', 'bill']",Neutral
i need help viewing my invoice,"['need', 'help', 'view', 'invoic']",Positive
how can i check my invoice?,"['check', 'invoic']",Positive
I want to see my invoicr,"['want', 'see', 'invoicr']",Neutral
"I can't find my bill, how do I see it?","['ca', 'find', 'bill', 'see']",Positive
"please, ask an agent if I can view my bills","['pleas', 'ask', 'agent', 'view', 'bill']",Positive
"ask an agent how to view my bill, please","['ask', 'agent', 'view', 'bill', 'pleas']",Positive
how to see my invoices,"['see', 'invoic']",Negative
"I can't find my bill, help me see it","['ca', 'find', 'bill', 'help', 'see']",Neutral
can you give me information about my bill?,"['give', 'inform', 'bill']",Negative
help me see my bills,"['help', 'see', 'bill']",Negative
"I lost my invoice, what do I have to do to view it?","['lost', 'invoic', 'view']",Negative
can you provide information about my bill?,"['provid', 'inform', 'bill']",Positive
"i can't find my invoices, what should i do to see them?","['ca', 'find', 'invoic', 'see']",Positive
"I can't find my invoice, what should I do to view it?","['ca', 'find', 'invoic', 'view']",Positive
"I didn't receive my invoices, help me check them","['receiv', 'invoic', 'help', 'check']",Positive
can I see my bills?,"['see', 'bill']",Negative
"I didn't receive my invoices, can you view them?","['receiv', 'invoic', 'view']",Positive
where can i check my invoices?,"['check', 'invoic']",Positive
"I want to see my invoice, what can I do?","['want', 'see', 'invoic']",Neutral
"i lost my invoices, how do i check them?","['lost', 'invoic', 'check']",Positive
"I lost my bill, what do I have to do to view it?","['lost', 'bill', 'view']",Negative
"I would like to see my bill, could you help me?","['would', 'like', 'see', 'bill', 'could', 'help']",Positive
"ask an agent where i could check my fucking bills, please","['ask', 'agent', 'could', 'check', 'fuck', 'bill', 'pleas']",Positive
"i didn't receive my invoice, how do i see it?","['receiv', 'invoic', 'see']",Negative
ask an agent how I could see my invoices,"['ask', 'agent', 'could', 'see', 'invoic']",Neutral
"I lost my bills, how  can I view them?","['lost', 'bill', 'view']",Negative
can u ask an agent about my invoice?,"['u', 'ask', 'agent', 'invoic']",Positive
"I didn't receive my bill, view it","['receiv', 'bill', 'view']",Neutral
where can I view my invoice?,"['view', 'invoic']",Neutral
"I can't find my invoice, can  I view it?","['ca', 'find', 'invoic', 'view']",Positive
i didn't receive my bill and i want to view it,"['receiv', 'bill', 'want', 'view']",Positive
"I can't find my invoices, what should I do to see them?","['ca', 'find', 'invoic', 'see']",Positive
"I didn't receive my bill, show it","['receiv', 'bill', 'show']",Neutral
"I didn't receive my bills, can I check them?","['receiv', 'bill', 'check']",Positive
"I can't  find my invoice , view it","['ca', 'find', 'invoic', 'view']",Positive
"i can't find my bbills, show them","['ca', 'find', 'bbill', 'show']",Positive
"I lost my bills, how can I check them?","['lost', 'bill', 'check']",Positive
"I lost my bill, what do I have to do to check it?","['lost', 'bill', 'check']",Positive
"I lost my bill, how do I giew it?","['lost', 'bill', 'giew']",Positive
"I can't find my invoices, how could I view them?","['ca', 'find', 'invoic', 'could', 'view']",Neutral
I need help seeing my bill,"['need', 'help', 'see', 'bill']",Negative
how can i view my invoice?,"['view', 'invoic']",Neutral
I can't find my bill and I want to check it,"['ca', 'find', 'bill', 'want', 'check']",Positive
"I lost my bill, view it","['lost', 'bill', 'view']",Negative
I didn't receive my invoices and I want to see them,"['receiv', 'invoic', 'want', 'see']",Neutral
"I lost my invoices, help me check them","['lost', 'invoic', 'help', 'check']",Negative
i lost my fucking bill and i wanna view it,"['lost', 'fuck', 'bill', 'wan', 'na', 'view']",Neutral
i want information about my bills,"['want', 'inform', 'bill']",Neutral
"i lost my bill, what do i have to do to view it?","['lost', 'bill', 'view']",Negative
"I didn't receive my bill, I need help viewing it","['receiv', 'bill', 'need', 'help', 'view']",Neutral
"I lost my bill, what should I do to view it?","['lost', 'bill', 'view']",Negative
"I can't find my bill, view it, please","['ca', 'find', 'bill', 'view', 'pleas']",Positive
"I can't find my invoice , what can I do to view it?","['ca', 'find', 'invoic', 'view']",Positive
"I can't find my bills, view them","['ca', 'find', 'bill', 'view']",Positive
how do i check my invoices?,"['check', 'invoic']",Positive
"please, can you ask an agent where I can see my invoices?","['pleas', 'ask', 'agent', 'see', 'invoic']",Negative
"I can't find my invoices, can you show them?","['ca', 'find', 'invoic', 'show']",Positive
can you tell me about my bill?,"['tell', 'bill']",Positive
"i want to check my bill, what do i have to do?","['want', 'check', 'bill']",Neutral
how to check my bills,"['check', 'bill']",Positive
"i lost my fucking bills, can u view them?","['lost', 'fuck', 'bill', 'u', 'view']",Neutral
"I didn't receive my invoice, what can I do to check it?","['receiv', 'invoic', 'check']",Positive
"I can't find my bill, can you check it?","['ca', 'find', 'bill', 'check']",Positive
"I lost my bill, ohw do I check it?","['lost', 'bill', 'ohw', 'check']",Positive
"i wanna check my invoice, can u help me?","['wan', 'na', 'check', 'invoic', 'u', 'help']",Positive
I want to check my invoices,"['want', 'check', 'invoic']",Neutral
chdck my invoices,"['chdck', 'invoic']",Positive
"I want to se my invoice, what do I have to do?","['want', 'se', 'invoic']",Neutral
"I can't find my bill, show it","['ca', 'find', 'bill', 'show']",Positive
I need help seeing my invoices,"['need', 'help', 'see', 'invoic']",Negative
"please, can you ask an agent how to see my bill?","['pleas', 'ask', 'agent', 'see', 'bill']",Negative
"please, can you check my bills?","['pleas', 'check', 'bill']",Positive
"I can't find my bills, what can I do to check them?","['ca', 'find', 'bill', 'check']",Positive
"i didn't receive my invoice, how can i see it?","['receiv', 'invoic', 'see']",Negative
"I can't find my invoices, what do I have to do to see them?","['ca', 'find', 'invoic', 'see']",Positive
can you ask an agent to provide information about my fucking bills?,"['ask', 'agent', 'provid', 'inform', 'fuck', 'bill']",Positive
I can't find my invoices and I want to view them,"['ca', 'find', 'invoic', 'want', 'view']",Positive
"please, could you ask an agent where to view my bill?","['pleas', 'could', 'ask', 'agent', 'view', 'bill']",Neutral
help me view my invoices,"['help', 'view', 'invoic']",Positive
"I can't find my invoices , view them","['ca', 'find', 'invoic', 'view']",Positive
ask an agent where to check my fucking bill,"['ask', 'agent', 'check', 'fuck', 'bill']",Positive
"i lost my invoice, how can i view it?","['lost', 'invoic', 'view']",Negative
"I lost my invoice, I need help checking it","['lost', 'invoic', 'need', 'help', 'check']",Negative
"i lost my invoices, what can i do to check them?","['lost', 'invoic', 'check']",Positive
"please, could you ask an agent how I could view my fucking bill?","['pleas', 'could', 'ask', 'agent', 'could', 'view', 'fuck', 'bill']",Neutral
how can I view my bill?,"['view', 'bill']",Neutral
"I lost my invoices, what can I do to view them?","['lost', 'invoic', 'view']",Negative
"I didn't receive my invoices, what can I do to check them?","['receiv', 'invoic', 'check']",Positive
"I can't find my invoice, how can I view it?","['ca', 'find', 'invoic', 'view']",Positive
can u ask an asgent where i can view my invoices?,"['u', 'ask', 'asgent', 'view', 'invoic']",Negative
"I didn't receive my bills, view them","['receiv', 'bill', 'view']",Neutral
"I didn't receive my invoice, can I see it?","['receiv', 'invoic', 'see']",Negative
ask an agent to provide information about my invoices,"['ask', 'agent', 'provid', 'inform', 'invoic']",Positive
"I didn't receive my invoice, can you check it?","['receiv', 'invoic', 'check']",Positive
where to see my bills,"['see', 'bill']",Negative
information about my invoice,"['inform', 'invoic']",Negative
"I want to see my invoices, can you help me?","['want', 'see', 'invoic', 'help']",Negative
I want to check my bills,"['want', 'check', 'bill']",Neutral
"I can't find my invoices, can I check them?","['ca', 'find', 'invoic', 'check']",Positive
can you show me my invoices?,"['show', 'invoic']",Positive
"can youj ask an agent to show me my invoices, please ?","['youj', 'ask', 'agent', 'show', 'invoic', 'pleas']",Neutral
"I can't find my bill, how can I view it?","['ca', 'find', 'bill', 'view']",Positive
I need help checking my bill,"['need', 'help', 'check', 'bill']",Negative
i wanna check my bills,"['wan', 'na', 'check', 'bill']",Positive
i wanna check my invoice,"['wan', 'na', 'check', 'invoic']",Positive
"I didn't receive my invoice, what should I do to see it?","['receiv', 'invoic', 'see']",Negative
where do I view my invoice?,"['view', 'invoic']",Neutral
"I didn't receive my bill, what can I do to check it?","['receiv', 'bill', 'check']",Positive
how do I check my invoices?,"['check', 'invoic']",Positive
"I didn't receive my invoices, can I see them?","['receiv', 'invoic', 'see']",Negative
can I checkmy biklls?,"['checkmi', 'bikll']",Positive
"i can't find my bills, what should i do to check them?","['ca', 'find', 'bill', 'check']",Positive
I didn't receive my bills and I want to view them,"['receiv', 'bill', 'want', 'view']",Positive
